Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
- ( - ),@djoniecash2,2025-07-31T14:45:14.000Z,False,Jokowi biang masalah.,0,0,0,555,[],[],[],https://pbs.twimg.com/profile_images/1299352683841634304/65rf3is6_normal.jpg,https://x.com/djoniecash2/status/1950930761051476071,tweet_id:1950930761051476071
mbak-mbak jawa,@gamauiri,2025-07-31T14:46:45.000Z,False,Ini ada loby dr mantan ke7 kah??,0,0,0,646,[],[],[],https://pbs.twimg.com/profile_images/1416395884703535107/Dpo8lNVN_normal.jpg,https://x.com/gamauiri/status/1950931142103679145,tweet_id:1950931142103679145
AING Putra Budah Laut Pantai Utara,@Uncle_ukan,2025-07-31T14:54:05.000Z,False,HERO supermarket,0,0,0,607,[],[],[],https://pbs.twimg.com/profile_images/1609876424873381889/MPV7WAAn_normal.jpg,https://x.com/Uncle_ukan/status/1950932987454886131,tweet_id:1950932987454886131
Mozza,@ssassins_,2025-07-31T15:22:31.000Z,False,Chuakssssss wkwk,0,0,0,94,[],[],[],https://pbs.twimg.com/profile_images/1948256916641292288/iE5aA3N-_normal.jpg,https://x.com/ssassins_/status/1950940144753602645,tweet_id:1950940144753602645
Yudhi Winarno,@yudhi_winarno,2025-07-31T14:32:17.000Z,False,setelah minta jokowi dihadirkan,0,0,0,1.1K,[],[],[],https://pbs.twimg.com/profile_images/1659659224333574144/LIM6XZpn_normal.jpg,https://x.com/yudhi_winarno/status/1950927503054483564,tweet_id:1950927503054483564
,@La_Mijeong,2025-07-31T14:56:37.000Z,False,Licik sekali ya presiden inj,0,0,0,565,[],[],[],https://pbs.twimg.com/profile_images/1526901794722353152/mXZbtJKk_normal.jpg,https://x.com/La_Mijeong/status/1950933624884494667,tweet_id:1950933624884494667
onigiri loves satoru,@snoozearea,2025-07-31T15:18:13.000Z,False,pak tom emang ga salah dari awal dan harusnya uda bebas dari dulu. dan buat elu stop sok sokan jadi pahlawan. ,0,0,0,99,[],[],['\\U0001f60a'],https://pbs.twimg.com/profile_images/1946612148123078656/QsqzNXwc_normal.jpg,https://x.com/snoozearea/status/1950939062040465586,tweet_id:1950939062040465586
Boy Hota,@BoyHota78755,2025-07-31T15:18:45.000Z,False,Skenario berjalan lancar,0,0,0,93,[],[],[],https://pbs.twimg.com/profile_images/1768067254615457792/tuwrs2VT_normal.png,https://x.com/BoyHota78755/status/1950939194135805971,tweet_id:1950939194135805971
Mita,@MitdaYenti,2025-07-31T15:01:52.000Z,False,Tom sj yang atu lagi ga usah,0,0,0,180,[],[],[],https://pbs.twimg.com/profile_images/1659462318508625924/uHTevbwD_normal.png,https://x.com/MitdaYenti/status/1950934945440141393,tweet_id:1950934945440141393
Itscriw,@itscriw,2025-07-31T15:49:52.000Z,False,"Gerak cepat dan tidak bertele-tele. Good job, Pak!",0,0,0,22,[],[],[],https://pbs.twimg.com/profile_images/1302201426957877250/EBMH5OLZ_normal.jpg,https://x.com/itscriw/status/1950947027355115675,tweet_id:1950947027355115675
